hotel,district,source,author,date,rating,review
Автозаводская,Автозаводский,yandex_maps,Саня Александров,17 декабря 2025,5.0,"Гостиница супер! Минусов ни каких. Приехал в город рано утром, позвонил, номер свободный сразу нашли. По приезду в гостиницу заселили за 5 минут. Есть своя парковка. Гостиница чистая, ухоженная, в номере чистота, уютно, всё необходимое есть. В общем из 5 балов 10 с…"
Автозаводская,Автозаводский,yandex_maps,Марина Ажибаева,20 августа 2025,5.0,"Очень уютная гостиница, вежливый персонал, помогают решить все возникшие вопросы. Особенно понравились завтраки в формате шведский стол - вкусно по-домашнему, большой выбор блюд. Обязательно буду рекомендовать гостиницу. Хотелось бы добавить в…"
Автозаводская,Автозаводский,yandex_maps,Тамара Лагутина,3 августа 2025,4.0,"Гостиница хорошая. Рядом станция метро, ТЦ, кафе. В номере всё чисто. Номер оснащен кондиционером, телевизором, холодильником. В санузле ванна, не душевая кабина! Минусы: далеко от центра города, нет своей парковки, нет бойлеров.…"
Автозаводская,Автозаводский,yandex_maps,Надежда Червякова,22 октября 2025,5.0,"Второй раз приезжаю в Нижний. Решила вновь остановиться в этом отеле. Как всегда встретили доброжелательные девочки. Респект Марии и Анастасии. Номер попался этажом выше предыдущего, но меня не смутило. Главное чисто и уютно. Завтраки вкусные, твердая пятерка."
Автозаводская,Автозаводский,yandex_maps,Александр Грошев,16 октября 2025,5.0,"Здравствуйте, хочу оставить отзыв о гостинице, проживал здесь в начале октября, пищу честно номера после ремонта всё чисто , номера убирают каждый день мыльные меняют , персонал очень вежливый, завтрак шведский стол очень понравился вкусно сытно , Спасибо вернусь ещё!!!! Рекомендую!"
Автозаводская,Автозаводский,yandex_maps,Анастасия М,19 ноября 2025,5.0,"Несмотря на свои 3 звезды, приятно удивила чистотой, комфортом и внимательным персоналом. Отдельно хочется отметить расположение - центр Автозавода. До метро можно дойти пешком. Соотношение цены и качества просто отличное! Рекомендую для путешественников, ценящих комфорт и удобство."
Автозаводская,Автозаводский,yandex_maps,Любовь Колосова,20 октября 2025,5.0,"Приезжали на три денечка, на рецепшене приветливые и добрые девочки, все решалось быстро и с улыбочкой, в номере чисто, тепло, уютно, большие окна в номере, автостоянка рядом, все работает, четко и правильно, спасибо всем"
Автозаводская,Автозаводский,yandex_maps,миша левенстам,10 января,3.0,"Добрый вечер, в целом все хоррешить шо, чисто уютно, на завтрак не ходили так как достаточно дорого, хотя кому как, номер хороший чистый холодильник телевизор, ваннная, комната тоже не че единственное ванна не стандартная,, персонал вежливый, всегда идет на встречу и пытается…"
Автозаводская,Автозаводский,yandex_maps,Зоя Щ.,26 октября 2025,5.0,"Прекрасная гостиница с уютными номерами, вежливым персоналом и расположенностью близко к метро. Также можно заказать питание в кафе при гостинице, кормят очень вкусно и разнообразно. Обязательно посетим эту гостиницу снова!"
Автозаводская,Автозаводский,yandex_maps,Анюта Владимирова,9 августа 2025,5.0,"Метро рядом. В номере чисто и уютно, есть все необходимое: полотенца, мыло, шампунь, чай и кофе. Продуктовый магазин неподалеку, в шаговой доступности торговые центры. Встретили вежливо."
Автозаводская,Автозаводский,yandex_maps,Александр Олегович,2 августа 2025,5.0,"🌟 Отличная гостиница! Очень уютное место с приветливым персоналом. Номер был чистым и комфортным, а расположение — просто идеальное для прогулок по городу и рядом с метро. Обязательно вернусь снова!"
Автозаводская,Автозаводский,yandex_maps,Nikolai,10 июня 2025,5.0,"На удивление хороший отель. Был в командировке, гостиницу забронировали без моего участия. Первая мысль, когда глянул на карту - ну думаю, всё, беда/печаль. Но в реальности все оказалось иначе. Во-первых, вас встречает очень приветливый персонал. Во вторых, номера…"
Автозаводская,Автозаводский,yandex_maps,Lana Grin,5 июля 2025,5.0,"Гостиница расположена далеко от Кремля и прочих туристических мест , но буквально в 300-стах метрах метро. Бронировали номер стандарт, с кондиционером, поселили без его наличия. Но, поскольку в период нашего отдыха погода была прохладная, вопрос не совпадения…"
